Movie,Directors,Ranking,year,region,length,genre
Notorious,Alfred Hitchcock,129,1946, USA ,101m, Thriller
Partie de campagne,Jean Renoir,130,1936, France ,40m, Comedy Drama
Yi yi,Edward Yang,131,2000, Taiwan-Japan ,173m, Ensemble Film
Los Olvidados,Luis Buñuel,132,1950, Mexico ,88m, Juvenile Delinquency Film
"Rome, Open City",Roberto Rossellini,133,1945, Italy ,105m, War Drama
Nosferatu,F.W. Murnau,134,1922, Germany ,84m, Horror
The Lady Eve,Preston Sturges,135,1941, USA ,94m, Romantic Comedy
Un Chien andalou,Luis Buñuel,136,1928, France ,16m, Avant-garde-Experimental
Double Indemnity,Billy Wilder,137,1944, USA ,106m, Film Noir
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,138,1974, West Germany ,94m, Melodrama
The Exterminating Angel,Luis Buñuel,139,1962, Mexico ,95m, Comedy Drama
Days of Heaven,Terrence Malick,140,1978, USA ,95m, Rural Drama
His Girl Friday,Howard Hawks,141,1940, USA ,92m, Screwball Comedy
The Conversation,Francis Ford Coppola,142,1974, USA ,113m, Thriller
Stagecoach,John Ford,143,1939, USA ,96m, Western
A Matter of Life and Death,Michael Powell & Emeric Pressburger,144,1946, UK ,104m, Romantic Fantasy
Do the Right Thing,Spike Lee,145,1989, USA ,120m, Urban Drama
Trouble in Paradise,Ernst Lubitsch,146,1932, USA ,83m, Sophisticated Comedy
Rosemary's Baby,Roman Polanski,147,1968, USA ,136m, Occult Horror
Brief Encounter,David Lean,148,1945, UK ,85m, Drama
Histoire(s) du  cinÃ©ma,Jean-Luc Godard,149,1998, France ,265m, Essay Film
On the Waterfront,Elia Kazan,150,1954, USA ,108m, Message Movie
The Gospel According to St. Matthew,Pier Paolo Pasolini,151,1964, Italy-France ,135m, Hagiography
Beau travail,Claire Denis,152,1999, France ,92m, Drama
"The Good, the Bad and the Ugly",Sergio Leone,153,1966, Italy-Spain ,161m, Spaghetti Western
Duck Soup,Leo McCarey,154,1933, USA ,70m, Anarchic Comedy
Cries and Whispers,Ingmar Bergman,155,1972, Sweden ,106m, Drama
Come and See,Elem Klimov,156,1985, USSR ,136m, War Drama
Chimes at Midnight,Orson Welles,157,1965, France-Spain-Switzerland ,115m, Drama
The Discreet Charm of the Bourgeoisie,Luis Buñuel,158,1972, France ,100m, Satire
L'Argent,Robert Bresson,159,1983, France-Switzerland ,90m, Drama
The Deer Hunter,Michael Cimino,160,1978, USA ,183m, Ensemble Film
The Passenger,Michelangelo Antonioni,161,1975, Italy ,119m, Road Movie
King Kong,Merian C. Cooper & Ernest B. Schoedsack,162,1933, USA ,103m, Adventure
The River,Jean Renoir,163,1951, France-India-USA ,99m, Drama
The Red Shoes,Michael Powell & Emeric Pressburger,164,1948, UK ,133m, Romantic Drama
Black Narcissus,Michael Powell & Emeric Pressburger,165,1947, UK ,99m, Melodrama
The Grapes of Wrath,John Ford,166,1940, USA ,129m, Rural Drama
NapolÃ©on,Abel Gance,167,1927, France ,235m, Historical Epic
Mouchette,Robert Bresson,168,1967, France ,80m, Drama
Dekalog,Krzysztof Kieslowski,169,1988, Poland ,550m, Drama
Imitation of Life,Douglas Sirk,170,1959, USA ,124m, Melodrama
Earth,Alexander Dovzhenko,171,1930, USSR ,75m, Drama
The Umbrellas of Cherbourg,Jacques Demy,172,1964, France-Germany ,91m, Musical
The Life and Death of Colonel Blimp,Michael Powell & Emeric Pressburger,173,1943, UK ,163m, Drama
There Will Be Blood,Paul Thomas Anderson,174,2007, USA ,158m, Family Drama
The Great Dictator,Charles Chaplin,175,1940, USA ,128m, Comedy
Rocco and His Brothers,Luchino Visconti,176,1960, Italy-France ,180m, Family Drama
