Movie,Directors,Ranking,year,region,length,genre
The Ascent,Larisa Shepitko,733,1976, USSR ,111m, War Drama
Ghostbusters,Ivan Reitman,734,1984, USA ,107m, Fantasy
Who's Afraid of Virginia Woolf?,Mike Nichols,735,1966, USA ,129m, Marriage Drama
The Age of the Earth,Glauber Rocha,736,1980, Brazil ,158m, Religious Epic
All Quiet on the Western Front,Lewis Milestone,737,1930, USA ,133m, War Drama
The Circus,Charles Chaplin,738,1928, USA ,72m, Comedy
Starship Troopers,Paul Verhoeven,739,1997, USA ,129m, Sci-Fi Action
Blow Out,Brian De Palma,740,1981, USA ,107m, Political Thriller
Wild at Heart,David Lynch,741,1990, USA ,127m, Road Movie
When Harry Met Sally...,Rob Reiner,742,1989, USA ,95m, Romance
It's a Gift,Norman Z. McLeod,743,1934, USA ,73m, Comedy
The Holy Mountain,Alejandro Jodorowsky,744,1973, Mexico-USA ,114m, Avant-garde-Experimental
Rififi,Jules Dassin,745,1955, France ,115m, Crime Thriller
A Woman of Paris,Charles Chaplin,746,1923, USA ,81m, Romance
The Last Emperor,Bernardo Bertolucci,747,1987, China-Italy-UK-France ,160m, Historical Film
Abraham's Valley,Manoel de Oliveira,748,1993, Portugal-France-Switzerland ,187m, Psychological DramaLeonor Silveira
Blood Simple,Joel Coen & Ethan Coen,749,1984, USA ,97m, Post-Noir (Modern Noir)
The Miracle of Morgan's Creek,Preston Sturges,750,1944, USA ,99m, Satire
Olympia,Leni Riefenstahl,751,1938, Germany ,220m, Sports
Time of the Gypsies,Emir Kusturica,752,1989, Yugoslavia ,142m, Comedy Drama
Hitler: A Film from Germany,Hans-Jürgen Syberberg,753,1977, West Germany-France-UK ,442m, Avant-garde-Experimental
The Right Stuff,Philip Kaufman,754,1983, USA ,193m, Drama
The Headless Woman,Lucrecia Martel,755,2008, Argentina-Spain-France-Italy ,87m, Thriller
Forbidden Games,René Clément,756,1952, France ,87m, Childhood Drama
Vengeance is Mine,Shohei Imamura,757,1979, Japan ,129m, Crime
Van Gogh,Maurice Pialat,758,1991, France ,155m, Drama
The Last Detail,Hal Ashby,759,1973, USA ,105m, Comedy Drama
A History of Violence,David Cronenberg,760,2005, USA-Germany ,96m, Crime Thriller
Ossessione,Luchino Visconti,761,1943, Italy ,140m, Drama
The Long Day Closes,Terence Davies,762,1992, UK ,83m, Coming-of-Age
Port of Shadows,Marcel Carné,763,1938, France ,91m, Romantic Drama
La CiÃ©naga,Lucrecia Martel,764,2001, Argentina-France-Spain ,103m, DramaMercedes Moran
Moonfleet,Fritz Lang,765,1955, USA ,89m, Costume Adventure
The Sweet Hereafter,Atom Egoyan,766,1997, Canada ,112m, Drama
Code Unknown,Michael Haneke,767,2000, France-Germany-Romania ,116m, Ensemble Film
Black Girl,Ousmane Sembene,768,1966, Senegal-France ,65m, Drama
Avatar,James Cameron,769,2009, USA-UK ,161m, Science Fiction
Hunger,Steve McQueen,770,2008, UK-Ireland ,96m, Prison Film
The Blues Brothers,John Landis,771,1980, USA ,130m, Action Comedy
Z,Constantin Costa-Gavras,772,1969, France ,127m, Thriller
Le Sang des bÃªtes,Georges Franju,773,1949, France ,20m, Culture & Society
Morocco,Josef von Sternberg,774,1930, USA ,92m, Romance
Crumb,Terry Zwigoff,775,1994, USA ,119m, Documentary
The Princess Bride,Rob Reiner,776,1987, USA ,98m, Adventure Comedy
Il Grido,Michelangelo Antonioni,777,1957, Italy ,111m, Drama
Sauve qui peut (la vie),Jean-Luc Godard,778,1980, France-Switzerland ,87m, Psychological Drama
The Ladykillers,Alexander Mackendrick,779,1955, UK ,90m, Crime
The Lusty Men,Nicholas Ray,780,1952, USA ,113m, Drama
Memories of Murder,Bong Joon-ho,781,2003, South Korea ,132m, Crime
Dog Star Man,Stan Brakhage,782,1964, USA ,75m, Avant-garde-Experimental
The Producers,Mel Brooks,783,1968, USA ,88m, Showbiz Comedy
Donnie Darko,Richard Kelly,784,2001, USA ,112m, Fantasy
The Misfits,John Huston,785,1961, USA ,124m, Drama
She Wore a Yellow Ribbon,John Ford,786,1949, USA ,103m, Western
NumÃ©ro deux,Jean-Luc Godard,787,1975, France ,88m, Avant-garde-Experimental
Seven Women,John Ford,788,1966, USA ,87m, Drama
Le Million,René Clair,789,1931, France ,85m, Musical Comedy
Seventh Heaven,Frank Borzage,790,1927, USA ,119m, Romance
Blue,Derek Jarman,791,1993, UK ,76m, Avant-garde
Big Deal on Madonna Street,Mario Monicelli,792,1958, Italy ,91m, Crime Comedy
The Breakfast Club,John Hughes,793,1985, USA ,97m, Comedy Drama
American Beauty,Sam Mendes,794,1999, USA ,121m, Comedy Drama
They Were Expendable,John Ford,795,1945, USA ,135m, War Drama
The New World,Terrence Malick,796,2005, USA ,135m, Historical Film
"The Cook, The Thief, His Wife & Her Lover",Peter Greenaway,797,1989, UK-France ,120m, Black Comedy
The Last Temptation of Christ,Martin Scorsese,798,1988, USA ,164m, Religious Drama
Dumbo,Ben Sharpsteen,799,1941, USA ,64m, Animated Musical
An American in Paris,Vincente Minnelli,800,1951, USA ,115m, Musical
We All Loved Each Other So Much,Ettore Scola,801,1974, Italy ,124m, Comedy Drama
Spione,Fritz Lang,802,1928, Germany ,90m, Thriller
Ludwig,Luchino Visconti,803,1973, Italy-France-West Germany ,235m, Historical Film
The Host,Bong Joon-ho,804,2006, South Korea-Japan ,119m, Sci-Fi Horror
Saturday Night Fever,John Badham,805,1977, USA ,119m, Dance Film
Princess Mononoke,Hayao Miyazaki,806,1997, Japan ,134m, Anime
The River,Tsai Ming-liang,807,1997, Taiwan ,115m, Drama
The Ghost and Mrs. Muir,Joseph L. Mankiewicz,808,1947, USA ,104m, Romance
Pickup on South Street,Samuel Fuller,809,1953, USA ,80m, Thriller
Anatomy of a Murder,Otto Preminger,810,1959, USA ,160m, Drama
Deep End,Jerzy Skolimowski,811,1970, UK-West Germany ,88m, Drama
Au revoir les enfants,Louis Malle,812,1987, France ,103m, War Drama
Cool Hand Luke,Stuart Rosenberg,813,1967, USA ,126m, Drama
La Nuit du carrefour,Jean Renoir,814,1932, France ,73m, Police Detective Film
Million Dollar Baby,Clint Eastwood,815,2004, USA ,137m, Sports Drama
Pink Flamingos,John Waters,816,1972, USA ,92m, Comedy
American Graffiti,George Lucas,817,1973, USA ,110m, Comedy Drama
Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,818,1988, Spain ,88m, Comedy
Rope,Alfred Hitchcock,819,1948, USA ,80m, Thriller
Le Jour se lÃ¨ve,Marcel Carné,820,1939, France ,93m, Crime Drama
Branded to Kill,Seijun Suzuki,821,1967, Japan ,91m, Gangster Film
Akira,Katsuhiro Otomo,822,1988, Japan ,124m, Science Fiction
42nd Street,Lloyd Bacon,823,1933, USA ,89m, Backstage Musical
Fires Were Started,Humphrey Jennings,824,1943, UK ,80m, Military & War
"New York, New York",Martin Scorsese,825,1977, USA ,164m, Period Film
Burnt by the Sun,Nikita Mikhalkov,826,1994, Russia-France ,152m, Political Drama
O Lucky Man!,Lindsay Anderson,827,1973, UK ,173m, Comedy
Street of Shame,Kenji Mizoguchi,828,Akasen chitai (original title)1956, Japan ,96m, Melodrama
The End of Summer,Yasujiro Ozu,829,1961, Japan ,103m, Drama
The Return,Andrey Zvyagintsev,830,2003, Russia ,110m, Psychological Drama
Topsy-Turvy,Mike Leigh,831,1999, UK-USA ,160m, Comedy Drama
Night of the Demon,Jacques Tourneur,832,1957, UK ,82m, Occult Horror
L'Enfance nue,Maurice Pialat,833,1968, France ,80m, Childhood Drama
The Ladies Man,Jerry Lewis,834,1961, USA ,95m, Comedy
Sicilia!,Jean-Marie Straub & Danièle Huillet,835,1999, Italy-France-Germany ,66m, Family Drama
Fort Apache,John Ford,836,1948, USA ,127m, Western
Veronika Voss,Rainer Werner Fassbinder,837,1982, West Germany ,105m, Drama
The Intruder,Claire Denis,838,2004, France-Korea ,130m, Drama
The Hart of London,Jack Chambers,839,1970, Canada ,80m,"Avant-garde-Experimental""Jack Chambers's 80-minute The Hart of London is a sprawling"
Jurassic Park,Steven Spielberg,840,1993, USA ,126m, Prehistoric Fantasy
Central Station,Walter Salles,841,1998, Brazil-France-Spain-Japan ,110m, Drama
Two English Girls,François Truffaut,842,1971, France ,108m, Romantic Drama
Forbidden Planet,Fred M. Wilcox,843,1956, USA ,98m, Science Fiction
The Sun Shines Bright,John Ford,844,1953, USA ,90m, Drama
Arabian Nights,Pier Paolo Pasolini,845,1974, Italy-France ,130m, Adventure
HÃ´tel Terminus,Marcel Ophüls,846,1987, USA ,267m, History
Taipei Story,Edward Yang,847,1985, Taiwan ,110m, Romantic Drama
La Chienne,Jean Renoir,848,1931, France ,95m, Drama
Black Orpheus,Marcel Camus,849,1959, Brazil-France ,103m, Fantasy
LÃ©on,Luc Besson,850,1994, France ,119m, Action Thriller
The Ice Storm,Ang Lee,851,1997, USA ,113m, Family Drama
3 Women,Robert Altman,852,1977, USA ,125m, Drama
Cul-de-sac,Roman Polanski,853,1966, UK ,111m, Comedy Thriller
"Diaries, Notes and Sketches",Jonas Mekas,854,1969, USA ,177m, Avant-garde
The Bridges of Madison County,Clint Eastwood,855,1995, USA ,135m, Romance
Assault on Precinct 13,John Carpenter,856,1976, USA ,90m, Action Thriller
The Naked Island,Kaneto Shindo,857,1960, Japan ,94m, Rural DramaNobuko Otowa
Street Angel,Yuan Muzhi,858,1937, China ,91m, Drama
Excalibur,John Boorman,859,1981, UK ,140m, Sword-and-Sorcery
Get Carter,Mike Hodges,860,1971, UK ,112m, Crime Thriller
News from Home,Chantal Akerman,861,1976, France-Belgium-West Germany ,85m, Avant-garde
The Usual Suspects,Bryan Singer,862,1995, USA ,105m, Crime
To Live,Zhang Yimou,863,1994, China-Hong Kong ,145m, Family Drama
The Day the Earth Stood Still,Robert Wise,864,1951, USA ,92m, Science Fiction
Othello,Orson Welles,865,1952, Italy-France-Morocco-USA ,90m, Drama
Juliet of the Spirits,Federico Fellini,866,1965, Italy ,148m, Comedy Drama
My Little Loves,Jean Eustache,867,1974, France ,123m, DramaMartin Loeb
Gilda,Charles Vidor,868,1946, USA ,110m, Film Noir
Mother India,Mehboob Khan,869,1957, India ,172m, Epic
Knife in the Water,Roman Polanski,870,1962, Poland ,94m, Psychological Drama
Le Trou,Jacques Becker,871,1960, France-Italy ,140m, Prison Film
The Outlaw Josey Wales,Clint Eastwood,872,1976, USA ,135m, Western
Henry V,Laurence Olivier,873,1944, UK ,137m, Historical Film
The Incredible Shrinking Man,Jack Arnold,874,1957, USA ,81m, Science Fiction
2046,Wong Kar-wai,875,2004, Hong Kong-China-France-Italy-Germany ,129m, Romance
Grave of the Fireflies,Isao Takahata,876,1988, Japan ,93m, Anime
Roman Holiday,William Wyler,877,1953, USA ,119m, Romance
Odd Man Out,Carol Reed,878,1947, UK ,115m, Drama
The 47 Ronin,Kenji Mizoguchi,879,1941, Japan ,219m, Historical Film
The Match Factory Girl,Aki Kaurismäki,880,1990, Finland-Sweden ,68m, Drama
Love and Death,Woody Allen,881,1975, USA ,82m, Comedy
Not Reconciled,Jean-Marie Straub,882,1965, West Germany ,53m, Drama
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Jonas Mekas,883,2000, USA ,288m, Biography
La BÃªte humaine,Jean Renoir,884,1938, France ,99m, Crime Drama
Ed Wood,Tim Burton,885,1994, USA ,124m, Comedy Drama
Dust in the Wind,Hou Hsiao-hsien,886,1987, Taiwan ,109m, Drama
On the Town,Stanley Donen & Gene Kelly,887,1949, USA ,98m, Musical
The Criminal Life of Archibaldo de la Cruz,Luis Buñuel,888,1955, Mexico ,91m, Crime Comedy
The Lord of the Rings: The Return of the King,Peter Jackson,889,2003, New Zealand-USA ,201m, Epic
Near Dark,Kathryn Bigelow,890,1987, USA ,95m, Horror
Il Posto,Ermanno Olmi,891,1961, Italy ,93m, Drama
Simon of the Desert,Luis Buñuel,892,1965, Mexico ,43m, Satire
Das Boot,Wolfgang Petersen,893,1981, West Germany ,149m, War Drama
M*A*S*H,Robert Altman,894,1970, USA ,116m, Military Comedy
LâEnfant secret,Philippe Garrel,895,1982, France ,92m, Romance
Dracula,Terence Fisher,896,1958, UK ,82m, Costume Horror
"Spring, Summer, Autumn, Winter... and Spring",Kim Ki-duk,897,2003, South Korea-Germany ,103m, Psychological Drama
The Adventures of Robin Hood,Michael Curtiz & William Keighley,898,1938, USA ,102m, Swashbuckler
Mon oncle d'AmÃ©rique,Alain Resnais,899,1980, France ,123m, Comedy Drama
The Hawks and the Sparrows,Pier Paolo Pasolini,900,1966, Italy ,91m, Comedy
Ride the High Country,Sam Peckinpah,901,1962, USA ,94m, Western
Reds,Warren Beatty,902,1981, USA ,200m, Epic
Louisiana Story,Robert Flaherty,903,1948, USA ,77m, Culture & Society
Gregory's Girl,Bill Forsyth,904,1980, UK ,91m, Comedy Drama
Angel,Ernst Lubitsch,905,1937, USA ,91m, Romantic Drama
A Tale of the Wind,Joris Ivens,906,1988, France-UK-West Germany-Netherlands ,80m, Culture & Society
National Lampoon's Animal House,John Landis,907,1978, USA ,109m, Gross-Out Comedy
Elephant,Alan Clarke,908,1989, UK ,39m, Drama
The Godfather Part III,Francis Ford Coppola,909,1990, USA ,161m, Crime Drama
Berlin: Symphony of a Great City,Walter Ruttmann,910,1927, Germany ,65m, Avant-garde-Experimental
Ballad of Narayama,Shohei Imamura,911,1983, Japan ,130m, Rural Drama
Gentlemen Prefer Blondes,Howard Hawks,912,1953, US ,91m, Musical Comedy
Anatahan,Josef von Sternberg,913,1953, Japan ,90m, Drama
Before Sunrise,Richard Linklater,914,1995, USA ,101m, Romance
Holiday,George Cukor,915,1938, USA ,93m, Comedy
Akira Kurosawa's Dreams,Akira Kurosawa,916,1990, USA ,120m, Drama
The Reckless Moment,Max Ophüls,917,1949, USA ,82m, Crime Drama
Fellini's Casanova,Federico Fellini,918,1976, Italy ,158m, Comedy Drama
Midnight Run,Martin Brest,919,1988, USA ,122m, Odd Couple Film
El Dorado,Howard Hawks,920,1967, USA ,126m, Western
El Topo,Alejandro Jodorowsky,921,1970, Mexico ,124m, Surrealist Film
Exotica,Atom Egoyan,922,1994, Canada ,104m, Psychological Drama
The Firemen's Ball,Milos Forman,923,1967, Czechoslovakia ,73m, Comedy
Sholay,Ramesh Sippy,924,1975, India ,162m, Action
Zabriskie Point,Michelangelo Antonioni,925,1970, USA ,112m, Drama
Mildred Pierce,Michael Curtiz,926,1945, USA ,109m, Melodrama
"Moi, un Noir",Jean Rouch,927,1958, France ,70m, Culture & Society
"Too Early, Too Late",Jean-Marie Straub & Danièle Huillet,928,1981, Germany ,100m, DocumentaryBahgat Elnadi
The Verdict,Sidney Lumet,929,1982, USA ,129m, Drama
Le Bonheur,Agnès Varda,930,1965, France ,79m, Romance
Yol,Serif Gören & Yilmaz Güney,931,1982, Turkey-Switzerland-France ,114m, Political Drama
A Grin Without a Cat,Chris Marker,932,1977, France ,240m, Documentary
Duel in the Sun,King Vidor,933,1946, USA ,130m, Western
PÃ©pÃ© le Moko,Julien Duvivier,934,1937, France ,94m, Romantic Drama
The Ten Commandments,Cecil B. DeMille,935,1956, USA ,220m, Religious Epic
A Diary for Timothy,Humphrey Jennings,936,1945, UK ,40m, Culture & Society
Outer Space,Peter Tscherkassky,937,1999, Austria ,10m," Avant-garde-Experimental""The film immediately creates an atmosphere of sinister foreboding in its liminal"
Finding Nemo,Andrew Stanton,938,2003, USA ,100m, Family-Oriented Comedy
Bob le flambeur,Jean-Pierre Melville,939,1955, France ,102m, Crime
The Man Who Fell to Earth,Nicolas Roeg,940,1976, UK ,140m, Psychological Sci-Fi
India: Matri Bhumi,Roberto Rossellini,941,1959, Italy-France ,90m, Documentary
The Tarnished Angels,Douglas Sirk,942,1957, USA ,91m, Adventure
Mamma Roma,Pier Paolo Pasolini,943,1962, Italy ,110m, Urban Drama
Floating Weeds,Yasujiro Ozu,944,1959, Japan ,119m, Drama
Une Femme est une femme,Jean-Luc Godard,945,1961, France ,83m, Romantic Comedy
Chikamatsu monogatari,Kenji Mizoguchi,946,1954, Japan ,100m, Melodrama
Subarnarekha,Ritwik Ghatak,947,1965, India ,143m, DramaAbhi Bhattacharya
A Man for All Seasons,Fred Zinnemann,948,1966, UK ,120m, Historical Film
HÃ¤xan,Benjamin Christensen,949,1922, Sweden ,83m, Supernatural Horror
Ten,Abbas Kiarostami,950,2002, France-Iran ,92m, Avant-garde-Experimental
Ceddo,Ousmane Sembene,951,1977, Senegal ,117m, Drama
Twin Peaks: Fire Walk with Me,David Lynch,952,1992, USA ,135m, Mystery
La Collectionneuse,Eric Rohmer,953,1966, France ,88m, Comedy Drama
The Loneliness of the Long Distance Runner,Tony Richardson,954,1962, UK ,103m, Psychological Drama
Shanghai Express,Josef von Sternberg,955,1932, USA ,80m, Drama
L'ArrivÃ©e d'un train Ã  la Ciotat,August Lumière & Louis Lumière,956,1895, France ,1m, Short Film
Beyond the Valley of the Dolls,Russ Meyer,957,1970, USA ,109m, Sexploitation
Cairo Station,Youssef Chahine,958,1958, Egypt ,76m, Drama
Kwaidan,Masaki Kobayashi,959,1964, Japan ,164m, Fantasy
Phantom of the Paradise,Brian De Palma,960,1974, USA ,92m, Rock Musical
Princess Yang Kwei Fei,Kenji Mizoguchi,961,1955, Japan-Hong Kong ,98m, Historical Film
Sawdust and Tinsel,Ingmar Bergman,962,1953, Sweden ,92m, Drama
True Heart Susie,D.W. Griffith,963,1919, USA ,87m, Romance
The Saragossa Manuscript,Wojciech Has,964,1965, Poland ,182m, Fantasy
Pickpocket,Jia Zhangke,965,1997, China-Hong Kong ,108m, Drama
Witness,Peter Weir,966,1985, USA ,112m, Crime Thriller
War and Peace,Sergei Bondarchuk,967,1967, USSR ,357m, Epic
Being John Malkovich,Spike Jonze,968,1999, USA ,112m, Comedy
Ã nous la libertÃ©,René Clair,969,1931,87m, BW , Comedy
The Story of Qiu Ju,Zhang Yimou,970,1992, China-Hong Kong ,100m, Rural Drama
From the Clouds to the Resistance,Jean-Marie Straub & Danièle Huillet,971,1979, Italy-West Germany-UK-France ,104m, DramaOlimpia Carlisi
Kill Bill Vol. 1,Quentin Tarantino,972,2003, USA ,111m, Action Thriller
Lone Star,John Sayles,973,1996, USA ,135m, Drama
Outskirts,Boris Barnet,974,1933, USSR ,98m, War Drama
Touchez pas au Grisbi,Jacques Becker,975,1954, France ,94m, Crime
The Rocky Horror Picture Show,Jim Sharman,976,1975, UK ,95m, Horror Comedy
Design for Living,Ernst Lubitsch,977,1933, USA ,90m, Romance
The Sting,George Roy Hill,978,1973, USA ,129m, Crime Comedy
O Bandido da Luz Vermelha,Rogério Sganzerla,979,1968, Brazil ,92m, BiopicPaulo Villaca
Scarecrow,Jerry Schatzberg,980,1973, USA ,108m, Drama
Ruggles of Red Gap,Leo McCarey,981,1935, USA ,92m, Comedy of Manners
Hellzapoppin',H.C. Potter,982,1941, USA ,84m, Anarchic Comedy
Mothlight,Stan Brakhage,983,1963, USA ,4m," Avant-garde-Experimental""Mothlight visualises a “day in the life” of an insect from birth to death… You could say Brakhage puts the “anima” back into animation"
The Indian Tomb,Fritz Lang,984,1959, West Germany-France-Italy ,95m, Romantic Adventure
Red Beard,Akira Kurosawa,985,1965, Japan ,185m, Period Film
The Fountainhead,King Vidor,986,1949, USA ,114m, Drama
Bad Timing,Nicolas Roeg,987,1980, UK ,129m, Mystery
The Big Red One,"Fuller, Samuel",988,1980, USA ,113m, Combat Film
Johnny Got His Gun,Dalton Trumbo,989,1971, USA ,111m, War Drama
L'Amour fou,Jacques Rivette,990,1968, France ,252m, Showbiz Drama
Unsere Afrikareise,Peter Kubelka,991,1966, Austria ,13m,"Avant-garde-Experimental""In 1961 Peter Kubelka was asked to make a documentary about a group of Europeans on an African hunting trip. He accompanied them"
The Nightmare Before Christmas,Henry Selick,992,1993, USA ,76m, Fantasy
They Live,John Carpenter,993,1988, USA ,93m, Alien Film
Heimat,Edgar Reitz,994,1984, West Germany ,940m, Epic
In Praise of Love,Jean-Luc Godard,995,2001, France ,97m, DramaBruno Putzulu
Dead Poets Society,Peter Weir,996,1989, USA ,128m, Coming-of-Age
Husbands and Wives,Woody Allen,997,1992, USA ,107m, Comedy Drama
L'HumanitÃ©,Bruno Dumont,998,1999, France ,147m, Psychological Drama
Oasis,Lee Chang-dong,999,2002, South Korea ,133m, Psychological Drama
Sorcerer,William Friedkin,1000,1977, USA ,121m, Adventure
