Movie,Directors,Ranking
The Crime of Monsieur Lange,Jean Renoir,333
Marnie,Alfred Hitchcock,334
El,Luis Buñuel,335
Written on the Wind,Douglas Sirk,336
The Green Ray,Eric Rohmer,337
Russian Ark,Aleksandr Sokurov,338
Lost Highway,David Lynch,339
October,Sergei Eisenstein & Grigori Aleksandrov,340
A Touch of Zen,King Hu,341
"I Was Born, Butâ_¦",Yasujiro Ozu,342
Happy Together,Wong Kar-wai,343
Werckmeister Harmonies,Béla Tarr,344
Heat,Michael Mann,345
Eyes Without a Face,Georges Franju,346
I Am Cuba,Mikhail Kalatozov,347
Through the Olive Trees,Abbas Kiarostami,348
Cl_©o from 5 to 7,Agnès Varda,349
Stromboli,Roberto Rossellini,350
The King of Comedy,Martin Scorsese,351
The Palm Beach Story,Preston Sturges,352
Last Tango in Paris,Bernardo Bertolucci,353
Landscape in the Mist,Theo Angelopoulos,354
In a Year with 13 Moons,Rainer Werner Fassbinder,355
High Noon,Fred Zinnemann,356
Shoot the Piano Player,François Truffaut,357
All That Heaven Allows,Douglas Sirk,358
Woman in the Dunes,Hiroshi Teshigahara,359
Tie Xi Qu: West of the Tracks,Wang Bing,360
Le Voyage dans la lune,Georges Méliès,361
Quince Tree of the Sun,Victor Erice,362
Teorema,Pier Paolo Pasolini,363
Wanda,Barbara Loden,364
Nostalghia,Andrei Tarkovsky,365
The Tenant,Roman Polanski,366
The Silence of the Lambs,Jonathan Demme,367
Stranger Than Paradise,Jim Jarmusch,368
Butch Cassidy and the Sundance Kid,George Roy Hill,369
Ivan's Childhood,Andrei Tarkovsky,370
Tristana,Luis Buñuel,371
Aliens,James Cameron,372
Days of Being Wild,Wong Kar-wai,373
Don't Look Back,D.A. Pennebaker,374
Network,Sidney Lumet,375
An Affair to Remember,Leo McCarey,376
The Double Life of Veronique,Krzysztof Kieslowski,377
Festen,Thomas Vinterberg,378
The Bridge on the River Kwai,David Lean,379
If....,Lindsay Anderson,380
Dogville,Lars von Trier,381
Salvatore Giuliano,Francesco Rosi,382
High and Low,Akira Kurosawa,383
Brokeback Mountain,Ang Lee,384
Fitzcarraldo,Werner Herzog,385
Man of Aran,Robert Flaherty,386
The Shawshank Redemption,Frank Darabont,387
The Hustler,Robert Rossen,388
Army of Shadows,Jean-Pierre Melville,389
The Innocents,Jack Clayton,390
The Young Girls of Rochefort,Jacques Demy,391
1900,Bernardo Bertolucci,392
Yojimbo,Akira Kurosawa,393
Suspiria,Dario Argento,394
Heaven's Gate,Michael Cimino,395
Fight Club,David Fincher,396
"The Cloud-Capped Star	",Ritwik Ghatak,397
Carrie,Brian De Palma,398
WALL-E,Andrew Stanton,399
Daisies,Vera Chytilová,400
I Know Where I'm Going!,Michael Powell & Emeric Pressburger,401
Shadows,John Cassavetes,402
Raise the Red Lantern,Zhang Yimou,403
Monty Python's Life of Brian,Terry Jones,404
A Star is Born,George Cukor,405
"Out 1, noli me tangere",Jacques Rivette,406
Chelsea Girls,Andy Warhol,407
The Awful Truth,Leo McCarey,408
Scenes from a Marriage,Ingmar Bergman,409
French Cancan,Jean Renoir,410
Day for Night,François Truffaut,411
Charulata,Satyajit Ray,412
The Dead,John Huston,413
Dead Ringers,David Cronenberg,414
